S. No.,Region,State/Districts,Actual(mm),Normal(mm),% Dep.
Rajasthan,Rajasthan,Rajasthan,393.6,419.0,-6
(i),East Rajasthan,East Rajasthan,635.3,615.8,3
1,East Rajasthan,Ajmer,421.0,429.6,-2
2,East Rajasthan,Alwar,518.1,555.3,-7
3,East Rajasthan,Banswara,808.3,831.8,-3
4,East Rajasthan,Baran,946.6,792.2,19
5,East Rajasthan,Bharatpur,755.4,557.6,35
6,East Rajasthan,Bhilwara,606.7,580.9,4
7,East Rajasthan,Bundi,608.4,655.9,-7
8,East Rajasthan,Chittorgarh,706.8,709.7,0
9,East Rajasthan,Dausa,592.8,612.1,-3
10,East Rajasthan,Dholpur,708.2,650.0,9
11,East Rajasthan,Dungarpur,761.8,637.8,19
12,East Rajasthan,Jaipur,508.6,524.6,-3
13,East Rajasthan,Jhalawar,958.5,855.1,12
14,East Rajasthan,Jhunjhunu,402.1,410.0,-2
15,East Rajasthan,Karauli,591.8,637.4,-7
16,East Rajasthan,Kota,719.4,746.3,-4
17,East Rajasthan,Pratapgarh,1135.0,845.8,34
18,East Rajasthan,Rajsamand,514.4,506.0,2
19,East Rajasthan,Sawai Madhopur,1008.7,664.0,52
20,East Rajasthan,Sikar,565.6,402.5,41
21,East Rajasthan,Sirohi,409.0,868.6,-53
22,East Rajasthan,Tonk,512.3,566.0,-9
23,East Rajasthan,Udaipur,562.3,591.3,-5
(ii),West Rajasthan,West Rajasthan,201.7,263.2,-23
1,West Rajasthan,Barmer,123.2,243.4,-49
2,West Rajasthan,Bikaner,259.1,228.7,13
3,West Rajasthan,Churu,324.4,313.7,3
4,West Rajasthan,Hanumangarh,138.1,252.5,-45
5,West Rajasthan,Jaisalmer,110.5,158.4,-30
6,West Rajasthan,Jalore,155.9,394.2,-60
7,West Rajasthan,Jodhpur,232.0,274.5,-15
8,West Rajasthan,Nagaur,287.1,348.5,-18
9,West Rajasthan,Pali,316.9,446.7,-29
10,West Rajasthan,Sri Ganganagar,172.4,201.4,-14
36,East Rajasthan,Bharatpur,598.0,738.3,-19
37,East Rajasthan,Bundi,744.1,791.6,-6
38,East Rajasthan,Baran,904.0,844.9,7
39,East Rajasthan,Chittorgarh,1077.8,898.2,20
40,East Rajasthan,Dausa,271.8,331.5,-18
41,East Rajasthan,Dholpur,365.6,384.8,-5
42,East Rajasthan,Dungarpur,425.5,394.0,8
43,West Rajasthan,Hanumangarh,541.2,447.3,21
44,East Rajasthan,Jhalawar,415.5,500.6,-17
45,East Rajasthan,Jhunjhunu,531.7,553.9,-4
46,West Rajasthan,Jodhpur,661.8,607.2,9
47,East Rajasthan,Karauli,805.8,660.5,22
48,East Rajasthan,Kota,599.6,713.8,-16
49,West Rajasthan,Nagaur,701.3,723.0,-3
50,West Rajasthan,Pali,853.9,776.3,10
51,East Rajasthan,Pratapgarh,597.3,829.6,-28
52,East Rajasthan,Rajsamand,750.5,882.9,-15
53,East Rajasthan,Sawai Madhopur,309.9,316.2,-2
54,East Rajasthan,Sikar,410.1,369.5,11
55,West Rajasthan,Sirohi,308.6,422.8,-27
56,West Rajasthan,Sri Ganganagar,371.5,432.0,-14
57,East Rajasthan,Tonk,480.4,485.3,-1
58,East Rajasthan,Udaipur,603.2,538.6,12
59,West Rajasthan,Bikaner,438.0,591.9,-26
60,West Rajasthan,Barmer,561.3,645.2,-13
61,West Rajasthan,Churu,698.5,698.5,0
62,West Rajasthan,Jaisalmer,849.5,751.8,13
63,West Rajasthan,Jalore,570.8,761.0,-25
64,East Rajasthan,Jhalrapatan,716.6,814.3,-12
65,East Rajasthan,Neem Ka Thana,876.3,867.6,1
66,East Rajasthan,Kotputli-Behror,343.0,300.9,14
67,East Rajasthan,Khairthal-Tijara,269.2,354.2,-24
68,West Rajasthan,Didwana-Kuchamana,362.7,407.5,-11
69,East Rajasthan,Deeg,470.0,460.8,2
70,East Rajasthan,Gangapur City,540.5,470.0,15
71,East Rajasthan,Shahpura,402.9,523.3,-23
72,East Rajasthan,Salumbar,518.9,576.6,-10
73,West Rajasthan,Phalodi,648.8,629.9,3
74,West Rajasthan,Balotra,792.5,683.2,16
75,West Rajasthan,Beawar,574.5,736.5,-22
76,West Rajasthan,Anupgarh,718.7,789.8,-9
77,East Rajasthan,Dudu,831.0,799.0,4
78,West Rajasthan,Sanchore,997.2,852.3,17
79,East Rajasthan,Sujangarh,715.4,905.6,-21
80,East Rajasthan,Banswara Rural,311.8,338.9,-8
81,East Rajasthan,Ajmer Rural,411.8,392.2,5
82,East Rajasthan,Alwar Rural,525.7,445.5,18
83,East Rajasthan,Bhilwara,399.0,498.8,-20
84,East Rajasthan,Rajgarh,472.4,508.0,-7
85,East Rajasthan,Mandalgarh,595.0,561.3,6
86,East Rajasthan,Rawatbhata,731.4,614.6,19
87,East Rajasthan,Nimbahera,541.0,667.9,-19
88,East Rajasthan,Kapasan,677.9,721.2,-6
89,East Rajasthan,Keshoraipatan,828.7,774.5,7
90,East Rajasthan,Ramganj Mandi,993.4,827.8,20
91,East Rajasthan,Pipalda,686.3,837.0,-18
92,West Rajasthan,Ladpura,845.8,890.3,-5
93,West Rajasthan,Sangod,349.5,323.6,8
94,West Rajasthan,Osian,456.0,376.9,21
95,West Rajasthan,Bilara,357.1,430.2,-17
96,West Rajasthan,Bhopalgarh,464.2,483.5,-4
97,West Rajasthan,Shergarh,585.1,536.8,9
98,West Rajasthan,Pokaran,666.1,546.0,22
99,West Rajasthan,Fatehpur,503.4,599.3,-16
